date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:16:35	61656/61656	---MCZ	200	added ('OK')	text/html	date:Sun,%2005%20Nov%202023%2007:16:34%20GMT	https://tema5.dokuzyazilim.com/	C:/Users/abdul/Desktop/HTTRACK/site6/site/tema5.dokuzyazilim.com/index.html	(from )
10:16:35	0/0	---M--	200	added ('OK')	text/plain	date:Sun,%2005%20Nov%202023%2007:16:34%20GMT	https://tema5.dokuzyazilim.com/robots.txt		(from )
10:16:35	1520/1520	---M-Z	200	added ('OK')	image/x-icon	date:Sat,%2012%20Feb%202022%2010:33:07%20GMT	https://tema5.dokuzyazilim.com/u/tema5/favicon.ico?v=2781	C:/Users/abdul/Desktop/HTTRACK/site6/site/tema5.dokuzyazilim.com/u/tema5/favicon4a40.ico	(from https://tema5.dokuzyazilim.com/)
10:16:36	160403/160403	---MCZ	200	added ('OK')	text/css	date:Mon,%2025%20Jan%202021%2022:04:10%20GMT	https://stackpath.bootstrapcdn.com/bootstrap/4.5.0/css/bootstrap.min.css	C:/Users/abdul/Desktop/HTTRACK/site6/site/stackpath.bootstrapcdn.com/bootstrap/4.5.0/css/bootstrap.min.css	(from https://tema5.dokuzyazilim.com/)
10:16:36	89729/89729	---MCZ	200	added ('OK')	text/css	etag:W/%2215e81-wb0UGHttyzbvrSHlFxH4lBgB3g8%22	https://maxst.icons8.com/vue-static/landings/line-awesome/line-awesome/1.3.0/css/line-awesome.min.css	C:/Users/abdul/Desktop/HTTRACK/site6/site/maxst.icons8.com/vue-static/landings/line-awesome/line-awesome/1.3.0/css/line-awesome.min.css	(from https://tema5.dokuzyazilim.com/)
10:16:37	1776/1776	---M-Z	200	added ('OK')	text/css	etag:W/%226f0-qUoFmzF4tK3sCeMoGs4oGaMAlaQ%22	https://cdn.jsdelivr.net/npm/slick-carousel@1.8.1/slick/slick.css	C:/Users/abdul/Desktop/HTTRACK/site6/site/cdn.jsdelivr.net/npm/slick-carousel@1.8.1/slick/slick.css	(from https://tema5.dokuzyazilim.com/)
10:16:37	4895/4895	---M-Z	200	added ('OK')	text/css	date:Thu,%2013%20Jun%202013%2022:12:28%20GMT	https://tema5.dokuzyazilim.com/js/fancybox/jquery.fancybox.css?v=2781	C:/Users/abdul/Desktop/HTTRACK/site6/site/tema5.dokuzyazilim.com/js/fancybox/jquery.fancybox4a40.css	(from https://tema5.dokuzyazilim.com/)
10:16:37	75178/75178	---M-Z	200	added ('OK')	text/css	date:Fri,%2003%20Nov%202023%2009:47:42%20GMT	https://tema5.dokuzyazilim.com/templates/default-neo/css/main.css?v=2781	C:/Users/abdul/Desktop/HTTRACK/site6/site/tema5.dokuzyazilim.com/templates/default-neo/css/main4a40.css	(from https://tema5.dokuzyazilim.com/)
10:16:37	0/0	---M--	200	added ('OK')	text/css	date:Mon,%2019%20Sep%202022%2020:33:06%20GMT	https://tema5.dokuzyazilim.com/templates/default-neo/css/color.default.css?v=2781	C:/Users/abdul/Desktop/HTTRACK/site6/site/tema5.dokuzyazilim.com/templates/default-neo/css/color.default4a40.css	(from https://tema5.dokuzyazilim.com/)
10:16:38	8076/8076	---M-Z	200	added ('OK')	text/css	date:Fri,%2003%20Nov%202023%2009:47:56%20GMT	https://tema5.dokuzyazilim.com/templates/neo-sepia/css/main.css?v=2781	C:/Users/abdul/Desktop/HTTRACK/site6/site/tema5.dokuzyazilim.com/templates/neo-sepia/css/main4a40.css	(from https://tema5.dokuzyazilim.com/)
10:16:38	23555/23555	---MCZ	200	added ('OK')	text/html	date:Sun,%2005%20Nov%202023%2007:16:37%20GMT	https://tema5.dokuzyazilim.com/register?adr=1	C:/Users/abdul/Desktop/HTTRACK/site6/site/tema5.dokuzyazilim.com/register79a6.html	(from https://tema5.dokuzyazilim.com/)
